UNICHEMLAB,106690,4,4
EMKAY,132737,3,3
KDDL,132054,3,4
SHRIYAMSEC,112393,2,2
MAHSEAMLES,100265,3,3
KOLTEPATIL,200009,4,4
HEG,109631,4,4
DHUNINV,222629,3,2
INSPIRISYS,132774,3,3
MOTHERSUMI,117334,4,4
SOMANYCERA,131548,3,3
ARROWGREEN,116064,4,3
AKASH,284807,2,2
NILAINFRA,130377,4,4
CHALET,207959,2,2
PNB,132461,3,3
LAXMIMACH,100252,3,3
RUCHI,100368,3,3
GREAVESCOT,101455,4,4
IFBIND,105726,4,4
TIRUMALCHM,100412,4,4
LUPIN,100257,3,3
MAXVIL,279685,3,2
BRIGADE,200020,3,3
TRIL,200019,2,2
ITDC,132189,3,3
NFL,123630,3,3
GREENPANEL,295732,2,2
SHIL,295873,2,2
PURVA,132891,3,3
JTEKTINDIA,120057,4,4
MAHINDCIE,132756,4,4
BHARATFORG,100493,4,3
HPL,215796,3,3
BOMDYEING,100020,4,4
SWANENERGY,103310,3,3
BIGBLOC,280524,2,2
BFUTILITIE,132430,3,3
BAFNAPH,200062,3,3
APTECHT,132475,2,3
TRENT,100251,3,3
VIPIND,107880,4,4
GOKEX,132630,3,3
PGIL,132808,2,3
MUNJALAU,120059,3,2
NH,218533,3,4
PPAP,200024,4,3
ORIENTBELL,130365,3,2
SAFARI,123025,4,4
CEREBRAINT,132413,3,3
HITECHGEAR,122073,3,2
DCW,100117,3,2
JSL,132508,4,3
GLAXO,100660,3,3
JINDALSTEL,132286,3,3
ASHIMASYN,114286,4,2
WESTLIFE,105533,2,3
ZEEL,105537,4,4
FORTIS,132843,3,2
ASHOKLEY,100477,3,3
TOKYOPLAST,100418,3,3
BLUEDART,126612,3,4
INDHOTEL,100850,3,3
YUKENINDIA,122108,4,4
KAMATHOTEL,126668,3,2
FORCEMOT,100033,3,3
NECLIFE,132649,3,3
TAJGVK,132390,3,2
RKFORGE,132527,3,3
ORICONENT,113121,4,3
PRSMJOHNSN,100338,4,3
DLF,132868,3,3
JHS,132771,3,3
MAHASTEEL,113554,3,3
PALREDTEC,132521,3,3
ASHIANA,123716,3,3
SAGARDEEP,280966,2,2
HEXATRADEX,228275,3,3
WHEELS,190073,3,3
V2RETAIL,132867,3,2
ADANIPOWER,209867,2,3
NILASPACES,290380,2,2
EIHOTEL,100840,3,3
TWL,200115,3,3
LEMONTREE,213429,2,2
EBIXFOREX,223077,3,3
NETWORK18,132798,3,3
POWERMECH,252076,5,5
EMKAY,132737,3,3
UNICHEMLAB,106690,4,4
TEXINFRA,105400,3,3
SHRIYAMSEC,112393,2,2
INSPIRISYS,132774,3,3
KDDL,132054,3,4
DHUNINV,222629,3,2
KOLTEPATIL,200009,4,4
MAHSEAMLES,100265,3,3
HEG,109631,4,4
GREENPOWER,220889,3,2
